0.05 100
0.15 100
0.25 100
0.35 100
0.45 100
0.55 100
0.65 100
0.75 100
0.85 100
0.95 100
1.05 100
1.15 100
1.25 100
1.35 100
1.45 100
1.55 100
1.65 100
1.75 100
1.85 100
1.95 100
2.05 100
2.15 100
2.25 100
2.35 100
2.45 100
2.55 100
2.65 100
2.75 100
2.85 100
2.95 100
3.05 100
3.15 100
3.25 100
3.35 100
3.45 100
3.55 100
3.65 100
3.75 100
3.85 100
3.95 100
4.05 100
4.15 100
4.25 100
4.35 100
4.45 100
4.55 100
4.65 100
4.75 100
4.85 100
4.95 100
5.05 100
5.15 100
5.25 100
5.35 100
5.45 100
5.55 100
5.65 100
5.75 100
5.85 100
5.95 100
6.05 100
6.15 100
6.25 100
6.35 100
6.45 100
6.55 100
6.65 100
6.75 100
6.85 100
6.95 100
7.05 100
7.15 100
7.25 100
7.35 100
7.45 100
7.55 100
7.65 100
7.75 100
7.85 100
7.95 100
8.05 100
8.15 100.001
8.25 100.001
8.35 100.001
8.45 100.001
8.55 100.001
8.65 100.002
8.75 100.004
8.85 100.007
8.95 100.014
9.05 100.031
9.15 100.071
9.25 100.162
9.35 100.375
9.45 100.871
9.55 102.028
9.65 104.727
9.75 111.025
9.85 125.718
9.95 160.002
